Reviewer Name,Review Date,Review Content
Bertel Buehring,2026-02-12,"Bad quality of items is one thing, but working together with a incompetent shipping company like J&T is  another thing. J&T is lying about delivery attempts and ask you to pick up the parcel miles away from your delivery dpadress. LAZADA? No thank you...until they have a better shipping company!"
May,2026-02-10,Bad bad bad . A waste of time . Lazada Malaysia doesn’t honor  their free return guarantee even with plenty of evidences showed. Yes they are bias! Avoid and go other platform if you can. Other platforms can buy the same products .
GraceL,2026-02-10,Why choose Ninja van Malaysia as your delivery partner. My parcels are stranded the second time. Your Cleo chat is also the most hopeless customer service. Please terminate your Cleo chat as you are wasting everyone's time
J Chew,2026-01-28,"If I have a chance to place a no star, i will do so without much hesitation. Worst company when it comes to expedite and facilitate the transport and the delivery of goods to the end customer. I ordered a piano over Rm 4k from LBS Music World and the item arrived at thier Subang Jaya hub within two working days from the date of order. They sat on it for 10 days from the actual date of delivery to the orphanage home in Klang. Absolutely disgusting and low graded company despite making millions of revenue. How could you even trust them to deliver goods for a value more than Rm 10k?  The irony thing is they couldn't do a simple job, thus, making the children waited for their piano for more than 10 days. What a heartless bunch of idiots, like a mickey mouse company."
Tan Sze Qi,2026-01-05,"everything about this website is trash. customer service is useless. i have been waiting two weeks for my item. it reached malaysia one week ago but they still have not delivered but will lie on their website that they have attempted delivery. when you contact customer service, they tell you that the courier was “overloaded”. anyway you can contact them over and over again and they will do nothing and they will lie about delivering your items. do not shop here."
Tiffany Peter,2026-01-04,"I got a fake new balance shoes from a lazada official shop in lazada Malaysia. The customer service is not helping at all, the link of the seller became unfound in the lazada website."
Sa Pe,2025-12-25,Lazada is not reputable
Jadwiga Clissold,2025-12-18,"Lazada will send you a different item to which you ordered then reject any refund,  Buyer Beware."
Yasuo Aji,2025-12-03,Don't buy to this site. The courier will spoiled your things and you cannot get refund. You will not get a fair solution from them. Scam site. You will regret. Believe me.
Cindy Morrison,2025-11-08,SCAM WEBSITE DO NOT BUY!!! I would give negative stars if it would let me!! Items do not match the pictures they are cheap crappy rip offs!! No refund will be given as they say what you ordered was what was sent!! I’ve lodged a refund with PayPal as their customer service is absolute garbage!!!!
William ervin,2025-10-25,Everything is a scam. Lazada promotes and protects scammers
angie yap,2025-10-13,"Lazada Malaysia's service is terrible. I bought 6 items but only received one. I can't find a life chat customer service representative either from the seller or Lazada. I can only talk to a machine customer service representative, and the answers are always the same."
Ahmed Imran,2025-10-08,"this is the most ridiculous and annoying website so far, when i try to login it says your password is wrong and after i reset with the code it says the code is wrong as well for security reasons and to contact support and now i cant even contact them, when i try the chat feature it automatically loads to the login screen this utter bullshit,  i have my own account and i bought things from this site, so many times and yet after a few days they do this time and time again, shittiest service so far, AVOID AT ALL COST"
Doc Fazzah Karim,2025-10-07,"That company lack customer service. Whateverr they have is a very unfriendly and rigid service. Complaits go thru chatbot! A robot! They did not want to take responsibility to refund an item they did not send at all! I have made efforts to request for a refund from the seller and also from Lazada. But unsuccessful. After 2 written requests for refunds, it was denied! 1/10/2025 and 3/10/2025. I even showed the online transaction payment and still they said they want more proof. Even the courier guy came to my house and admit that he did not deliver the missing item but he had sent other boxes of other items i bought. This is a blatant refusal which i look as a scam business. I will longer use the Lazada app. So very disappointed!"
Polly Rahman,2025-09-25,"TERRIBLE, TERRIBLE, TERRIBLE. Poor service, poor communication, poor quality, poor customer service, poor refund policy (despite having valid reasons and evidence). It's a total scam!"
Ian Sharp,2025-09-13,"Lazada is the worst seller app I have ever experienced; it is as if it was designed by a child. Cheesy cartoon icons, the unwanted promo popups, the confusing layout and the generally unprofessional look. Then you have Lazada coins, Lazland prizes, daily rewards, get rid of all that crap and concentrate on the one thing you do reasonably well, sell items."
Luis Limchiu,2025-09-09,I ordered an item from abroad 5 item the courier pick it up and it has been on the delivery facility since 6 days ago with no update and already beyond the promise delivery date. I call and message chat that I want a refund as clearly their advertisement show no delivery the they will refund.. yet there is NO OPTION FOR REDUND SINCE IT IS NOW ON THE COURIER BUT THE COURIER HAS NOT DELIVERED IT. So apparently they just want me to wait forever for an item that may not be delivered at all. And I get no refund.. CLEARLY FALSE ADVERTISING AND I THINK ILLEGAL
Rachel Wong,2025-09-06,"Never received call from customer service to resolved problem regarding goods ""free return""..All through email asking for an evidence..Once given.,still not satisfied and keep asking again the same thing to pretend and to avoid the buyer to return the product to the seller..Never give a call to buyer asking the actual issued or negotiating  with buyer to resolved problem that buyer facing..Try to protect irresponsible seller and void buyer ""free return""product..At the end of the day..,buyer will trap from seller and Lazada agent/app because ""Free Return"" sound good to be believe but not for all..""So beware""...Really worst..!!"
Truth Revealed,2025-09-01,Include an UNSUBSCRIBE button in your annoying marketing emails! It is ILLEGAL and considered spam. I hope someone reports this company.
Victor,2025-07-02,"I can confirm like so many people, Lazada is full of bad products, some scammers, and :- Support mission seems to be to piss-off and to lose valuable customers !It's like they barely read the messages (and all support could easily be chat-bots considering the extremely low level of interaction), and automatically resent the same non-answers...Pathetic."
